Software_Category;Software_CategoryLabel;num_software;subclass of 
http://www.wikidata.org/entity/Q2727468;build automation;36;programming tool
http://www.wikidata.org/entity/Q3257930;version control system;17;programming tool
http://www.wikidata.org/entity/Q15618492;software testing tool;16;programming tool
http://www.wikidata.org/entity/Q279650;disassembler;7;programming tool
http://www.wikidata.org/entity/Q1076785;compiler-compiler;7;programming tool
http://www.wikidata.org/entity/Q6470767;assembler;7;programming tool
http://www.wikidata.org/entity/Q28059995;CASE tool;6;programming tool
http://www.wikidata.org/entity/Q523796;linker;4;programming tool
http://www.wikidata.org/entity/Q1487455;graphical user interface builder;4;programming tool
http://www.wikidata.org/entity/Q913697;decompiler;3;programming tool
http://www.wikidata.org/entity/Q3614994;lexical analyzer generator;3;programming tool
http://www.wikidata.org/entity/Q4343954;web development tools;3;programming tool
http://www.wikidata.org/entity/Q101111163;document authoring system;3;programming tool , technical communication tool
http://www.wikidata.org/entity/Q4117406;implementation of a programming language;56;programming tool, ( different from programming language)
http://www.wikidata.org/entity/Q47506;compiler;100;programming tool, ( uses source code)
http://www.wikidata.org/entity/Q29647057;ray-tracing software;4;rendering software
http://www.wikidata.org/entity/Q1050567;computer-aided engineering;15;science software
http://www.wikidata.org/entity/Q28050159;data analysis software;10;science software
http://www.wikidata.org/entity/Q751850;astronomy software;8;science software
http://www.wikidata.org/entity/Q4811587;astrology software;1;science software
http://www.wikidata.org/entity/Q1639024;mathematical software;21;science software ( some claim that mathematcs is not science )
http://www.wikidata.org/entity/Q26726974;dynamic geometry software;19;science software , graphics software
http://www.wikidata.org/entity/Q62505;physics engine;15;science software , software engine
http://www.wikidata.org/entity/Q104636634;fuzzy finder;4;search tool
http://www.wikidata.org/entity/Q1371279;server software;71;server , ( part of - client-server )
http://www.wikidata.org/entity/Q11288;web server;46;server software
http://www.wikidata.org/entity/Q16676491;e-mail server;2;server software
http://www.wikidata.org/entity/Q1162303;print server;1;server software
http://www.wikidata.org/entity/Q100158612;network simulator;1;simulation software
