Software_Category,Software_CategoryLabel,num_software
http://www.wikidata.org/entity/Q5165883,control panel,2
http://www.wikidata.org/entity/Q1194864,electronic design automation,2
http://www.wikidata.org/entity/Q2522958,video software,2
http://www.wikidata.org/entity/Q16676491,e-mail server,2
http://www.wikidata.org/entity/Q7246032,privacy software,2
http://www.wikidata.org/entity/Q762157,scenery generator,2
http://www.wikidata.org/entity/Q1187338,video game bot,2
http://www.wikidata.org/entity/Q5156020,video conversion software,2
http://www.wikidata.org/entity/Q29032808,software configuration manager,2
http://www.wikidata.org/entity/Q51938570,entertainment software,2
http://www.wikidata.org/entity/Q85757110,Discovery layer,2
http://www.wikidata.org/entity/Q99263266,anti-plagiarism software,2
http://www.wikidata.org/entity/Q1194674,computer-assisted language learning,2
http://www.wikidata.org/entity/Q1199356,standard library,2
http://www.wikidata.org/entity/Q3363001,wrapper library,2
http://www.wikidata.org/entity/Q7606662,steganography tool,2
http://www.wikidata.org/entity/Q4811587,astrology software,1
http://www.wikidata.org/entity/Q25374232,closed-circuit television software,1
http://www.wikidata.org/entity/Q26203767,spatial analysis software,1
http://www.wikidata.org/entity/Q3552754,Disk utility,1
http://www.wikidata.org/entity/Q309396,keystroke logging,1
http://www.wikidata.org/entity/Q60461507,search tool,1
http://www.wikidata.org/entity/Q65048190,mind mapping software,1
http://www.wikidata.org/entity/Q91231169,RPKI validator,1
http://www.wikidata.org/entity/Q92205975,econometrics software,1
http://www.wikidata.org/entity/Q97644802,farm management software,1
http://www.wikidata.org/entity/Q99460482,justifier,1
http://www.wikidata.org/entity/Q100158612,network simulator,1
http://www.wikidata.org/entity/Q105044723,pixel-art editor,1
http://www.wikidata.org/entity/Q1162303,print server,1
http://www.wikidata.org/entity/Q2276335,graphics suite,1
http://www.wikidata.org/entity/Q4856363,Banking software,1
http://www.wikidata.org/entity/Q116112,bulk email software,1
http://www.wikidata.org/entity/Q48995961,headless content management system,1
http://www.wikidata.org/entity/Q104764409,mail user agent,1
http://www.wikidata.org/entity/Q816659,notification area,1
http://www.wikidata.org/entity/Q2023643,On-premises software,1
http://www.wikidata.org/entity/Q2072225,human resource management system,1
http://www.wikidata.org/entity/Q5282305,disk cleaner,1
http://www.wikidata.org/entity/Q6078050,Q6078050,1
http://www.wikidata.org/entity/Q833766,port scanner,1
http://www.wikidata.org/entity/Q5133829,clinical decision support system,1
http://www.wikidata.org/entity/Q13429867,anti malware,1
http://www.wikidata.org/entity/Q1440548,Fractal-generating software,1
http://www.wikidata.org/entity/Q28966214,peer-to-peer web hosting software,1
http://www.wikidata.org/entity/Q66088840,audio processor,1
http://www.wikidata.org/entity/Q109720157,association management software,1
http://www.wikidata.org/entity/Q3257918,educational content editing software,0
http://www.wikidata.org/entity/Q7311809,reminder software,0
http://www.wikidata.org/entity/Q10413423,anti-cheat,0
http://www.wikidata.org/entity/Q15548082,industrial software,0
http://www.wikidata.org/entity/Q925622,knowledge-based configuration,0
http://www.wikidata.org/entity/Q3559933,Live support software,0
http://www.wikidata.org/entity/Q909523,Ukagaka,0
http://www.wikidata.org/entity/Q451816,application firewall,0
http://www.wikidata.org/entity/Q137742,Autoresponder,0
http://www.wikidata.org/entity/Q1419081,PC booter,0
http://www.wikidata.org/entity/Q3006107,portable application creator,0
http://www.wikidata.org/entity/Q860737,photo slideshow software,0
http://www.wikidata.org/entity/Q63951851,computer-assisted learning,0
http://www.wikidata.org/entity/Q107110354,printing architecture,0
http://www.wikidata.org/entity/Q17138243,Virtual home design software,0
http://www.wikidata.org/entity/Q24966456,Video management system,0
http://www.wikidata.org/entity/Q4774525,anti-keylogger,0
http://www.wikidata.org/entity/Q4774495,anti-worm,0
http://www.wikidata.org/entity/Q12847068,VBRİS,0
http://www.wikidata.org/entity/Q70191115,stalkerware,0
http://www.wikidata.org/entity/Q60345396,screencasting software,0
http://www.wikidata.org/entity/Q228323,conditional access system,0
